Date,Accident_Severity,Weather_Conditions,Road_Surface_Conditions,Light_Conditions,Vehicle_Type,Road_Type,Speed_limit,Number_of_Casualties,Number_of_Vehicles,Latitude,Longitude
2015-02-20 15:56:47.871914,Slight,Fine no high winds,Snow,Darkness - lights lit,Goods vehicle,Dual carriageway,40,3,1,54.5068,1.2118
2015-02-22 14:42:49.713142,Slight,Fine no high winds,Wet or damp,Darkness - no lighting,Car,Single carriageway,30,5,2,56.1027,0.8525
2015-02-24 13:28:51.554369,Slight,Fine + high winds,Wet or damp,Daylight,Bus or coach,Dual carriageway,70,2,1,52.9366,-2.6559
2015-02-26 12:14:53.395597,Slight,Fine no high winds,Wet or damp,Daylight,Car,Single carriageway,30,3,3,54.3619,-3.4742
2015-02-28 11:00:55.236824,Slight,Fine no high winds,Dry,Daylight,Motorcycle,Single carriageway,30,3,1,54.1309,-1.5764
2015-03-02 09:46:57.078052,Slight,Raining no high winds,Dry,Daylight,Car,Single carriageway,60,4,2,50.7582,-0.2798
2015-03-04 08:32:58.919279,Slight,Raining no high winds,Wet or damp,Daylight,Goods vehicle,Single carriageway,30,3,1,52.5727,-3.0354
2015-03-06 07:19:00.760507,Fatal,Fine no high winds,Dry,Daylight,Car,Single carriageway,60,5,1,50.1555,-1.1773
2015-03-08 06:05:02.601734,Fatal,Fine no high winds,Dry,Daylight,Motorcycle,Roundabout,40,5,1,50.8856,-1.6602
2015-03-10 04:51:04.442961,Serious,Fine no high winds,Dry,Daylight,Car,Dual carriageway,60,5,2,56.4949,0.898
2015-03-12 03:37:06.284189,Slight,Fine no high winds,Dry,Daylight,Bus or coach,Dual carriageway,30,4,3,56.6353,-1.6374
2015-03-14 02:23:08.125416,Slight,Raining no high winds,Flood over 3cm deep,Darkness - lights lit,Goods vehicle,Single carriageway,60,2,3,56.4156,-1.0642
2015-03-16 01:09:09.966644,Serious,Fine no high winds,Dry,Daylight,Car,Single carriageway,60,4,3,55.8145,1.2541
2015-03-17 23:55:11.807871,Slight,Fine no high winds,Dry,Daylight,Goods vehicle,Single carriageway,30,5,1,56.3465,-2.3517
2015-03-19 22:41:13.649099,Slight,Raining no high winds,Dry,Daylight,Motorcycle,Single carriageway,30,4,1,55.3679,-2.4105
2015-03-21 21:27:15.490326,Slight,Fine no high winds,Flood over 3cm deep,Daylight,Car,Single carriageway,30,5,2,55.3587,0.3978
2015-03-23 20:13:17.331554,Slight,Raining no high winds,Dry,Daylight,Car,Dual carriageway,70,1,3,55.3389,-2.4735
2015-03-25 18:59:19.172781,Serious,Fine no high winds,Dry,Daylight,Car,Slip road,30,1,1,54.1123,0.5753
2015-03-27 17:45:21.014009,Slight,Snowing no high winds,Wet or damp,Daylight,Bus or coach,Single carriageway,40,3,1,52.9068,-3.4746
2015-03-29 16:31:22.855236,Serious,Fine no high winds,Wet or damp,Darkness - lights lit,Bus or coach,Single carriageway,20,2,1,55.8416,-3.3881
2015-03-31 15:17:24.696464,Slight,Fine + high winds,Dry,Daylight,Car,Dual carriageway,30,1,2,52.3892,0.9573
2015-04-02 14:03:26.537691,Slight,Raining no high winds,Dry,Darkness - lights lit,Car,Single carriageway,40,5,3,54.3432,-1.0255
2015-04-04 12:49:28.378919,Slight,Fine no high winds,Dry,Darkness - lights lit,Goods vehicle,Roundabout,70,4,2,53.4668,-0.0465
2015-04-06 11:35:30.220146,Slight,Raining no high winds,Dry,Darkness - lights lit,Pedal cycle,Dual carriageway,40,4,3,52.213,-2.7609
2015-04-08 10:21:32.061374,Fatal,Snowing no high winds,Dry,Darkness - lights unlit,Car,One way street,60,3,3,57.7975,-3.0855
2015-04-10 09:07:33.902601,Serious,Raining no high winds,Dry,Daylight,Van,Single carriageway,40,4,1,52.07,0.5922
2015-04-12 07:53:35.743829,Fatal,Fine + high winds,Dry,Daylight,Car,Dual carriageway,20,1,1,52.4743,-2.0276
2015-04-14 06:39:37.585056,Serious,Raining + high winds,Dry,Darkness - no lighting,Car,Single carriageway,30,4,1,51.2927,-1.4973
2015-04-16 05:25:39.426284,Slight,Fine no high winds,Wet or damp,Daylight,Goods vehicle,Dual carriageway,40,1,1,56.5838,-3.8462
2015-04-18 04:11:41.267511,Serious,Fine no high winds,Snow,Daylight,Car,Single carriageway,70,1,1,54.6927,-1.8777
2015-04-20 02:57:43.108739,Slight,Raining no high winds,Wet or damp,Darkness - lights lit,Car,Single carriageway,60,2,3,54.9043,0.2374
2015-04-22 01:43:44.949966,Slight,Fine no high winds,Dry,Darkness - lights lit,Car,Single carriageway,30,3,1,56.5645,0.517
2015-04-24 00:29:46.791194,Slight,Raining + high winds,Dry,Darkness - lights unlit,Goods vehicle,Single carriageway,30,5,1,52.7434,-0.1568
2015-04-25 23:15:48.632421,Slight,Fog or mist,Snow,Darkness - lighting unknown,Goods vehicle,Roundabout,30,1,2,51.5491,-0.193
2015-04-27 22:01:50.473649,Slight,Fine no high winds,Dry,Darkness - lights lit,Car,Dual carriageway,70,3,2,51.5872,-1.2157
2015-04-29 20:47:52.314876,Slight,Fine no high winds,Dry,Daylight,Car,Dual carriageway,60,5,3,55.861,-1.0392
2015-05-01 19:33:54.156104,Serious,Fine + high winds,Wet or damp,Darkness - no lighting,Car,Single carriageway,60,4,3,54.9129,0.0845
2015-05-03 18:19:55.997331,Slight,Fine no high winds,Wet or damp,Daylight,Motorcycle,Dual carriageway,30,3,2,51.6507,-2.6398
2015-05-05 17:05:57.838559,Slight,Fine + high winds,Wet or damp,Daylight,Car,Single carriageway,40,3,2,51.1605,-2.7267
2015-05-07 15:51:59.679786,Slight,Fine no high winds,Dry,Darkness - no lighting,Goods vehicle,Roundabout,40,3,1,50.9655,1.2246
2015-05-09 14:38:01.521014,Slight,Raining no high winds,Dry,Daylight,Car,One way street,30,4,1,55.0224,-3.8477
2015-05-11 13:24:03.362241,Serious,Fine no high winds,Snow,Daylight,Car,Single carriageway,40,4,3,50.0009,-3.2329
2015-05-13 12:10:05.203468,Slight,Raining no high winds,Dry,Daylight,Car,Roundabout,20,3,2,50.1466,-0.8632
2015-05-15 10:56:07.044696,Fatal,Fine no high winds,Wet or damp,Darkness - no lighting,Car,Single carriageway,30,2,3,53.1164,0.0581
2015-05-17 09:42:08.885923,Serious,Raining no high winds,Wet or damp,Daylight,Van,Single carriageway,60,1,1,55.5308,-1.0416
2015-05-19 08:28:10.727151,Slight,Fine no high winds,Wet or damp,Darkness - lights lit,Car,Single carriageway,60,4,3,55.5603,-2.0471
2015-05-21 07:14:12.568378,Slight,Raining no high winds,Dry,Daylight,Car,Single carriageway,30,2,3,53.4409,1.3789
2015-05-23 06:00:14.409606,Serious,Raining + high winds,Dry,Darkness - lights lit,Car,Dual carriageway,40,4,3,55.5286,-0.1288
2015-05-25 04:46:16.250833,Serious,Fine no high winds,Wet or damp,Darkness - lights lit,Car,Single carriageway,30,3,1,54.1688,0.5726
2015-05-27 03:32:18.092061,Serious,Fine no high winds,Frost or ice,Daylight,Car,Single carriageway,60,2,3,57.8155,-3.7786
2015-05-29 02:18:19.933288,Serious,Fine no high winds,Snow,Daylight,Car,Dual carriageway,60,5,1,51.2997,-2.7024
2015-05-31 01:04:21.774516,Slight,Raining no high winds,Dry,Daylight,Car,Dual carriageway,60,1,2,54.8053,-1.9421
2015-06-01 23:50:23.615743,Slight,Raining no high winds,Dry,Darkness - lighting unknown,Motorcycle,One way street,60,1,3,53.9299,-2.9957
2015-06-03 22:36:25.456971,Slight,Fine no high winds,Snow,Darkness - lights lit,Car,Dual carriageway,30,4,3,51.5557,-3.5991
2015-06-05 21:22:27.298198,Serious,Fine no high winds,Wet or damp,Darkness - lights unlit,Car,Dual carriageway,30,1,1,55.9999,-2.762
2015-06-07 20:08:29.139426,Slight,Fine no high winds,Frost or ice,Daylight,Van,Single carriageway,40,5,3,52.2041,-1.065
2015-06-09 18:54:30.980653,Slight,Raining no high winds,Dry,Darkness - lights lit,Car,Single carriageway,30,2,1,53.0537,-0.1734
2015-06-11 17:40:32.821881,Slight,Fine no high winds,Wet or damp,Darkness - lights lit,Car,Single carriageway,60,2,3,52.9986,0.2571
2015-06-13 16:26:34.663108,Slight,Unknown,Wet or damp,Darkness - lights lit,Car,Single carriageway,30,3,2,51.9536,-3.7639
2015-06-15 15:12:36.504336,Slight,Fine no high winds,Wet or damp,Darkness - lights unlit,Car,Dual carriageway,30,2,2,53.4456,-1.6461
2015-06-17 13:58:38.345563,Serious,Raining no high winds,Dry,Daylight,Bus or coach,Single carriageway,30,4,2,53.7868,-3.3278
2015-06-19 12:44:40.186791,Slight,Fine no high winds,Dry,Daylight,Car,Dual carriageway,70,5,3,55.9538,-1.6284
2015-06-21 11:30:42.028018,Serious,Fine no high winds,Wet or damp,Darkness - lights lit,Bus or coach,Single carriageway,30,3,3,56.1205,-1.6131
2015-06-23 10:16:43.869246,Slight,Raining no high winds,Dry,Darkness - lights lit,Car,Single carriageway,50,4,2,51.2684,-1.2598
2015-06-25 09:02:45.710473,Slight,Raining no high winds,Dry,Daylight,Car,Single carriageway,30,4,2,54.7422,0.9106
2015-06-27 07:48:47.551701,Serious,Unknown,Snow,Daylight,Bus or coach,Roundabout,30,4,1,57.1696,0.428
2015-06-29 06:34:49.392928,Serious,Fine no high winds,Dry,Daylight,Car,Dual carriageway,40,1,1,50.8703,-0.498
2015-07-01 05:20:51.234156,Slight,Fine no high winds,Wet or damp,Daylight,Motorcycle,Roundabout,60,4,2,53.7833,0.8697
2015-07-03 04:06:53.075383,Serious,Raining no high winds,Dry,Daylight,Car,Single carriageway,40,1,2,56.0028,-0.2684
2015-07-05 02:52:54.916611,Slight,Raining no high winds,Wet or damp,Darkness - lights lit,Bus or coach,Slip road,60,2,3,54.8919,0.5037
2015-07-07 01:38:56.757838,Slight,Fine no high winds,Flood over 3cm deep,Darkness - lights lit,Car,Single carriageway,30,1,2,50.8047,-0.8992
2015-07-09 00:24:58.599066,Slight,Fine no high winds,Dry,Daylight,Goods vehicle,Single carriageway,30,4,1,53.1728,-1.1113
2015-07-10 23:11:00.440293,Slight,Fine no high winds,Dry,Daylight,Car,Slip road,70,5,1,54.0579,-0.0175
2015-07-12 21:57:02.281521,Slight,Raining + high winds,Dry,Daylight,Goods vehicle,Single carriageway,30,5,1,57.9668,-3.8917
2015-07-14 20:43:04.122748,Slight,Fine no high winds,Dry,Daylight,Car,Dual carriageway,40,2,1,51.4289,-0.2029
2015-07-16 19:29:05.963975,Slight,Fine no high winds,Wet or damp,Darkness - lights lit,Bus or coach,Single carriageway,60,4,1,57.8594,1.1399
2015-07-18 18:15:07.805203,Slight,Fine no high winds,Frost or ice,Darkness - no lighting,Car,Dual carriageway,30,1,1,53.0092,-0.0733
2015-07-20 17:01:09.646430,Slight,Fine no high winds,Dry,Daylight,Pedal cycle,One way street,60,5,2,51.6026,-3.7976
2015-07-22 15:47:11.487658,Serious,Fine no high winds,Dry,Darkness - lights lit,Car,Single carriageway,30,3,1,53.3129,-1.9216
2015-07-24 14:33:13.328885,Slight,Fine no high winds,Dry,Darkness - no lighting,Car,Dual carriageway,30,4,1,54.912,0.4527
2015-07-26 13:19:15.170113,Slight,Fine no high winds,Wet or damp,Darkness - lights lit,Car,Single carriageway,30,4,1,51.708,1.2723
2015-07-28 12:05:17.011340,Serious,Fine + high winds,Dry,Daylight,Car,Dual carriageway,60,3,1,52.3315,-1.9641
2015-07-30 10:51:18.852568,Slight,Fine no high winds,Wet or damp,Darkness - lights unlit,Car,Single carriageway,30,5,2,56.8364,0.6266
2015-08-01 09:37:20.693795,Slight,Fine no high winds,Wet or damp,Daylight,Van,Single carriageway,60,3,3,57.9921,0.751
2015-08-03 08:23:22.535023,Slight,Raining + high winds,Wet or damp,Daylight,Van,Single carriageway,70,2,3,52.5454,-3.3219
2015-08-05 07:09:24.376250,Slight,Raining no high winds,Dry,Daylight,Car,Single carriageway,40,1,3,51.1909,0.6518
2015-08-07 05:55:26.217478,Serious,Fine no high winds,Wet or damp,Daylight,Pedal cycle,One way street,40,1,3,56.3454,-2.2166
2015-08-09 04:41:28.058705,Serious,Fine no high winds,Dry,Daylight,Car,Single carriageway,40,5,1,54.8036,-0.7372
2015-08-11 03:27:29.899933,Slight,Fine no high winds,Dry,Daylight,Car,Single carriageway,30,3,3,50.8032,-1.0357
2015-08-13 02:13:31.741160,Serious,Raining no high winds,Frost or ice,Daylight,Bus or coach,Single carriageway,40,4,3,57.5742,-0.3532
2015-08-15 00:59:33.582388,Serious,Unknown,Wet or damp,Darkness - lights lit,Motorcycle,Single carriageway,50,4,2,50.6244,0.0726
2015-08-16 23:45:35.423615,Slight,Raining no high winds,Dry,Darkness - no lighting,Taxi,Dual carriageway,70,4,2,55.0029,-1.5752
2015-08-18 22:31:37.264843,Serious,Raining no high winds,Dry,Daylight,Car,Slip road,70,2,2,53.3915,0.8857
2015-08-20 21:17:39.106070,Slight,Raining no high winds,Dry,Darkness - no lighting,Motorcycle,Single carriageway,60,2,1,54.453,0.4522
2015-08-22 20:03:40.947298,Serious,Fine no high winds,Dry,Darkness - no lighting,Car,Roundabout,60,4,1,51.7057,0.3198
2015-08-24 18:49:42.788525,Serious,Fine no high winds,Dry,Darkness - lights lit,Car,Dual carriageway,40,5,1,55.5049,-1.4796
2015-08-26 17:35:44.629753,Slight,Raining no high winds,Dry,Daylight,Car,Single carriageway,50,2,2,57.6778,-3.7933
2015-08-28 16:21:46.470980,Slight,Snowing no high winds,Dry,Darkness - lights lit,Taxi,Dual carriageway,60,2,3,53.6674,-1.2926
2015-08-30 15:07:48.312208,Slight,Fine no high winds,Wet or damp,Darkness - lights unlit,Goods vehicle,Single carriageway,30,1,2,54.1837,0.9415
2015-09-01 13:53:50.153435,Slight,Raining no high winds,Wet or damp,Darkness - lights lit,Goods vehicle,Dual carriageway,70,1,1,51.9185,-2.9525
2015-09-03 12:39:51.994663,Serious,Fine no high winds,Wet or damp,Daylight,Car,Roundabout,30,5,2,57.1349,1.4043
2015-09-05 11:25:53.835890,Serious,Fine no high winds,Dry,Daylight,Car,Single carriageway,50,2,3,57.7694,0.4423
2015-09-07 10:11:55.677118,Slight,Fine no high winds,Snow,Darkness - lights lit,Car,One way street,60,2,1,56.2904,-0.0959
2015-09-09 08:57:57.518345,Slight,Fine no high winds,Wet or damp,Daylight,Car,Dual carriageway,70,3,3,54.3422,-0.2756
2015-09-11 07:43:59.359573,Slight,Fine + high winds,Wet or damp,Daylight,Car,Single carriageway,30,5,3,57.6544,-0.7714
2015-09-13 06:30:01.200800,Slight,Fine no high winds,Wet or damp,Daylight,Bus or coach,Dual carriageway,60,5,1,51.2308,-0.0363
2015-09-15 05:16:03.042028,Slight,Raining no high winds,Snow,Darkness - lights lit,Car,Single carriageway,40,3,3,53.8279,-1.6795
2015-09-17 04:02:04.883255,Slight,Fine + high winds,Dry,Darkness - no lighting,Car,Slip road,30,3,2,54.3008,0.6491
2015-09-19 02:48:06.724482,Fatal,Fog or mist,Dry,Daylight,Car,Dual carriageway,60,1,3,53.9353,-0.1701
2015-09-21 01:34:08.565710,Slight,Fine no high winds,Wet or damp,Darkness - lights unlit,Car,Single carriageway,40,5,3,56.4193,0.2419
2015-09-23 00:20:10.406937,Slight,Fine no high winds,Wet or damp,Daylight,Car,Single carriageway,50,5,3,55.3632,0.3587
2015-09-24 23:06:12.248165,Serious,Fine no high winds,Wet or damp,Darkness - lights lit,Pedal cycle,Dual carriageway,30,3,2,51.0133,-3.4936
2015-09-26 21:52:14.089392,Slight,Unknown,Dry,Darkness - lights lit,Motorcycle,Single carriageway,40,4,3,52.7716,-3.694
2015-09-28 20:38:15.930620,Fatal,Fog or mist,Dry,Darkness - lights lit,Goods vehicle,Single carriageway,50,4,3,52.7126,0.4054
2015-09-30 19:24:17.771847,Fatal,Fine no high winds,Dry,Darkness - lights unlit,Car,Single carriageway,30,1,2,54.5251,-2.5734
2015-10-02 18:10:19.613075,Slight,Raining + high winds,Snow,Daylight,Car,Single carriageway,30,4,1,52.3317,-0.7992
2015-10-04 16:56:21.454302,Slight,Fine no high winds,Wet or damp,Darkness - no lighting,Car,Single carriageway,70,4,1,50.9382,-1.5596
2015-10-06 15:42:23.295530,Slight,Raining no high winds,Dry,Daylight,Goods vehicle,Single carriageway,40,4,1,55.2295,-3.8788
2015-10-08 14:28:25.136757,Slight,Fine no high winds,Dry,Darkness - lights lit,Goods vehicle,Single carriageway,60,2,3,56.8083,-3.7785
2015-10-10 13:14:26.977985,Slight,Fine + high winds,Dry,Darkness - lights lit,Car,Dual carriageway,30,1,1,57.4529,0.5492
2015-10-12 12:00:28.819212,Slight,Fine no high winds,Frost or ice,Darkness - lights lit,Car,Single carriageway,30,3,2,57.7806,-0.6578
2015-10-14 10:46:30.660440,Slight,Fine + high winds,Wet or damp,Daylight,Car,Single carriageway,30,4,3,56.2489,-1.1189
2015-10-16 09:32:32.501667,Slight,Fine + high winds,Wet or damp,Darkness - no lighting,Motorcycle,Single carriageway,30,2,3,51.1176,1.1939
2015-10-18 08:18:34.342895,Slight,Raining no high winds,Dry,Daylight,Van,Dual carriageway,40,4,3,56.8249,-3.0479
2015-10-20 07:04:36.184122,Serious,Fine no high winds,Wet or damp,Daylight,Motorcycle,Single carriageway,40,2,1,53.1997,-2.5812
2015-10-22 05:50:38.025350,Slight,Fine no high winds,Dry,Darkness - lights lit,Car,Single carriageway,40,1,1,55.8393,0.1621
2015-10-24 04:36:39.866577,Slight,Fine no high winds,Wet or damp,Daylight,Car,Single carriageway,30,4,1,54.2501,0.2638
2015-10-26 03:22:41.707805,Slight,Fine no high winds,Dry,Darkness - lights lit,Car,Roundabout,40,2,3,56.6288,-1.7731
2015-10-28 02:08:43.549032,Fatal,Fine no high winds,Dry,Daylight,Car,Dual carriageway,30,5,2,53.404,1.2304
2015-10-30 00:54:45.390260,Slight,Fog or mist,Wet or damp,Daylight,Car,Dual carriageway,30,5,3,50.4944,1.1604
2015-10-31 23:40:47.231487,Serious,Raining no high winds,Snow,Darkness - lights lit,Bus or coach,Dual carriageway,70,2,2,54.4546,-3.9317
2015-11-02 22:26:49.072715,Serious,Fine no high winds,Dry,Daylight,Bus or coach,Dual carriageway,50,4,3,51.3703,-3.0522
2015-11-04 21:12:50.913942,Slight,Fine no high winds,Wet or damp,Daylight,Car,Single carriageway,50,4,2,57.7241,0.5112
2015-11-06 19:58:52.755170,Serious,Fine no high winds,Dry,Darkness - lights lit,Goods vehicle,Dual carriageway,30,1,3,54.2157,-2.1563
2015-11-08 18:44:54.596397,Slight,Raining no high winds,Dry,Daylight,Car,Single carriageway,70,1,3,54.4285,-3.475
2015-11-10 17:30:56.437625,Slight,Fine no high winds,Dry,Darkness - lights lit,Car,Dual carriageway,50,3,2,57.2581,0.3175
2015-11-12 16:16:58.278852,Slight,Fog or mist,Dry,Daylight,Car,Dual carriageway,60,1,2,54.9967,-1.4998
2015-11-14 15:03:00.120080,Slight,Fine no high winds,Dry,Darkness - lights lit,Car,Single carriageway,30,4,2,52.4218,-1.2917
2015-11-16 13:49:01.961307,Slight,Unknown,Dry,Darkness - lights lit,Car,Single carriageway,70,3,2,52.3688,-2.975
2015-11-18 12:35:03.802535,Serious,Raining + high winds,Dry,Darkness - lights lit,Car,Single carriageway,60,1,2,54.0126,-0.3651
2015-11-20 11:21:05.643762,Slight,Fine no high winds,Snow,Daylight,Car,Dual carriageway,60,2,2,56.9329,-0.9682
2015-11-22 10:07:07.484989,Slight,Fog or mist,Dry,Darkness - lights lit,Taxi,Dual carriageway,30,5,2,56.3578,-2.8633
2015-11-24 08:53:09.326217,Slight,Fine no high winds,Wet or damp,Darkness - lights lit,Car,Roundabout,30,1,2,57.7019,-2.1282
2015-11-26 07:39:11.167444,Slight,Fine + high winds,Dry,Darkness - lights lit,Car,Single carriageway,30,1,3,50.5751,-0.7172
2015-11-28 06:25:13.008672,Serious,Fine no high winds,Wet or damp,Daylight,Car,Dual carriageway,30,2,2,52.1466,1.0868
2015-11-30 05:11:14.849899,Slight,Raining + high winds,Dry,Darkness - no lighting,Motorcycle,Dual carriageway,60,4,2,50.6417,1.0621
2015-12-02 03:57:16.691127,Slight,Raining + high winds,Dry,Darkness - lights lit,Car,Roundabout,20,2,3,56.0086,-2.4165
2015-12-04 02:43:18.532354,Slight,Fine + high winds,Dry,Daylight,Goods vehicle,Single carriageway,30,1,3,51.1267,0.0459
2015-12-06 01:29:20.373582,Slight,Fine + high winds,Dry,Daylight,Car,Single carriageway,30,4,1,50.7991,0.2654
2015-12-08 00:15:22.214809,Slight,Fine no high winds,Dry,Darkness - no lighting,Car,Dual carriageway,30,3,1,54.4934,0.4485
2015-12-09 23:01:24.056037,Serious,Fine no high winds,Wet or damp,Daylight,Motorcycle,Dual carriageway,30,1,2,53.2919,-0.8608
2015-12-11 21:47:25.897264,Slight,Fine no high winds,Frost or ice,Darkness - lights unlit,Car,Slip road,60,2,2,55.7208,-3.9422
2015-12-13 20:33:27.738492,Fatal,Fine no high winds,Wet or damp,Darkness - lights lit,Car,Single carriageway,40,3,1,53.8961,0.1892
2015-12-15 19:19:29.579719,Slight,Raining no high winds,Wet or damp,Darkness - lights lit,Car,Single carriageway,20,5,1,53.4027,-3.4137
2015-12-17 18:05:31.420947,Slight,Fine no high winds,Dry,Daylight,Motorcycle,One way street,30,3,2,53.404,-3.3572
2015-12-19 16:51:33.262174,Slight,Unknown,Dry,Daylight,Car,Single carriageway,30,2,1,56.975,-0.6691
2015-12-21 15:37:35.103402,Serious,Raining no high winds,Dry,Darkness - lights unlit,Car,Dual carriageway,30,3,2,53.1618,1.4094
2015-12-23 14:23:36.944629,Serious,Fine + high winds,Dry,Daylight,Van,Single carriageway,50,2,3,52.6672,-2.666
2015-12-25 13:09:38.785857,Slight,Fine no high winds,Dry,Darkness - lights lit,Car,Single carriageway,60,1,3,52.7083,-0.448
2015-12-27 11:55:40.627084,Serious,Raining + high winds,Dry,Daylight,Goods vehicle,Dual carriageway,60,4,1,51.5728,-2.3299
2015-12-29 10:41:42.468312,Serious,Fog or mist,Dry,Daylight,Goods vehicle,Dual carriageway,60,5,3,56.8855,0.943
2015-12-31 09:27:44.309539,Slight,Fine no high winds,Dry,Daylight,Car,Single carriageway,20,4,3,51.173,-0.7357
2016-01-02 08:13:46.150767,Slight,Raining no high winds,Wet or damp,Daylight,Car,Single carriageway,70,4,3,57.2689,-2.8589
2016-01-04 06:59:47.991994,Slight,Fine + high winds,Wet or damp,Darkness - lighting unknown,Car,Roundabout,60,4,3,52.2677,-2.5583
2016-01-06 05:45:49.833222,Slight,Fine no high winds,Dry,Daylight,Motorcycle,Single carriageway,70,2,2,57.1954,-1.6214
2016-01-08 04:31:51.674449,Serious,Fine no high winds,Frost or ice,Daylight,Motorcycle,Roundabout,20,2,2,56.3266,-3.3288
2016-01-10 03:17:53.515677,Serious,Fine no high winds,Snow,Daylight,Goods vehicle,Single carriageway,70,5,1,54.6559,-3.567
2016-01-12 02:03:55.356904,Slight,Fine no high winds,Dry,Daylight,Pedal cycle,Dual carriageway,60,2,3,55.3558,-0.2597
2016-01-14 00:49:57.198132,Slight,Fine no high winds,Dry,Daylight,Motorcycle,One way street,60,2,3,52.6068,-1.7606
2016-01-15 23:35:59.039359,Slight,Fine no high winds,Dry,Darkness - no lighting,Car,Dual carriageway,30,2,3,54.5938,-0.0058
2016-01-17 22:22:00.880587,Serious,Fine no high winds,Snow,Daylight,Car,Single carriageway,60,2,1,52.3392,-3.3947
2016-01-19 21:08:02.721814,Serious,Fine no high winds,Frost or ice,Daylight,Goods vehicle,Dual carriageway,70,1,2,53.2182,-0.6457
2016-01-21 19:54:04.563042,Serious,Snowing no high winds,Dry,Daylight,Car,Single carriageway,50,5,3,56.1173,-1.5618
2016-01-23 18:40:06.404269,Serious,Fine no high winds,Dry,Darkness - lighting unknown,Car,Single carriageway,40,2,2,51.9515,-3.681
2016-01-25 17:26:08.245496,Slight,Snowing no high winds,Wet or damp,Daylight,Bus or coach,Slip road,70,5,1,56.7108,-1.0036
